profile,gender,birthday,favorites_anime,link
jaedencex,Non-Binary,13-Jan-01,"['7791', '232', '27989', '11061', '440', '23623', '2001', '205', '30', '9926']",https://myanimelist.net/profile/jaedencex
Glamrgrl104,Female,12-Nov,"['2076', '28171', '20899', '36028', '71', '14345']",https://myanimelist.net/profile/Glamrgrl104
XoXoXoXoXo,Male,5-Nov-96,"['17895', '11887', '9253', '7791', '7674']",https://myanimelist.net/profile/XoXoXoXoXo
ratchet573,Male,21-Jul-94,"['400', '801', '9253', '22297', '567']",https://myanimelist.net/profile/ratchet573
icurry,Female,6-Sep-01,"['5680', '1482', '31240', '9379', '28701', '10087', '14833', '5081', '23283']",https://myanimelist.net/profile/icurry
sachi_shimazu,,,"['5680', '6547', '9756', '15809', '9253']",https://myanimelist.net/profile/sachi_shimazu
plaide,,,['5680'],https://myanimelist.net/profile/plaide
guitarreaper254,Male,3-Jul-92,[],https://myanimelist.net/profile/guitarreaper254
Kirbypower521,Male,12-Dec-98,"['5680', '14719', '30831', '33206', '30307', '8675', '21273']",https://myanimelist.net/profile/Kirbypower521
HermanoDigital,,,[],https://myanimelist.net/profile/HermanoDigital
